OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng,Shape_Le_1,Shape_Area
195,195,0.001518,0.387289,16,16.432,195,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",38813.96483,0.383751784,0.001511571
196,196,0.008968,0.789901,2,97.102,196,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,80617.57774,0.770217333,0.008970297
197,197,0.001319,0.302244,11,14.272,197,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",31288.66692,0.296698948,0.001312919
198,198,0.001032,0.235535,5,11.173,198,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",24080.53825,0.231648422,0.001027131
199,199,0.006815,0.993595,11,73.787,199,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",100493.4082,0.974850683,0.006806965
200,200,0.001864,0.338216,11,20.184,200,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",34911.61775,0.332683819,0.001854512
201,201,0.001075,0.241481,Glacier,11.638,201,3541,6587,26.4,326,0,GG,GG,GG,GG,GG,24175.34624,0.239751485,0.001083993
202,202,0.000971,0.324089,11,10.509,202,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",33021.01542,0.317000961,0.000962106
203,203,0.00113,0.235477,11,12.234,203,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",24248.67423,0.232042599,0.001127415
204,204,0.001661,0.319891,16,17.988,204,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",33410.97022,0.316126942,0.001668619
205,205,0.003826,0.51551,16,41.416,205,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",52182.20801,0.506876052,0.003820929
206,206,0.223172,10.341508,8,2426.784,206,95,1943,26.6,222,8,TH,SC2,RGd,SC2,"Sandstone, greywacke, arkose",1056648.975,10.18202972,0.223214396
207,207,0.001164,0.287386,11,12.599,207,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",29318.8753,0.283238355,0.001152731
208,208,0.001805,0.37609,2,19.548,208,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,39230.6783,0.367534236,0.001811867
209,209,0.000948,0.201425,11,10.266,209,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",20960.07937,0.198466645,0.000944294
210,210,0.002254,0.664801,Glacier,24.408,210,3541,6587,26.4,326,0,GG,GG,GG,GG,GG,69399.35643,0.660131037,0.00223423
211,211,0.210853,8.238301,17,2288.347,211,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",845127.9878,8.186108406,0.210870398
212,212,0.011038,1.791156,16,119.595,212,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",184074.1337,1.77048523,0.011053605
213,213,0.007418,1.580673,2,80.377,213,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,162625.2471,1.543979463,0.007438623
214,214,0.005741,1.21104,11,62.192,214,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",122974.7158,1.185773372,0.005743331
215,215,0.001129,0.313268,3,12.23,215,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,32266.65951,0.30650791,0.001127002
216,216,0.001258,0.378674,Glacier,13.628,216,3541,6587,26.4,326,0,GG,GG,GG,GG,GG,37646.98774,0.377088103,0.001260838
217,217,0.00094,0.246623,16,10.185,217,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",25599.51268,0.244184367,0.000937473
218,218,0.004101,1.101574,11,44.424,218,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",112558.5232,1.085409092,0.004097744
219,219,0.00127,0.176507,16,13.753,219,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",18396.83825,0.174636637,0.001267105
220,220,0.006554,0.47376,14,71.018,220,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",48136.8929,0.470529509,0.006561807
221,221,0.001269,0.224356,2,13.752,221,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,23457.1013,0.220932534,0.001271008
222,222,0.001107,0.329791,16,11.988,222,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",33122.92503,0.323916237,0.001103076
223,223,0.004802,0.438199,3,52.034,223,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,45018.81091,0.432464207,0.004800446
224,224,0.00096,0.246294,16,10.401,224,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",24893.8218,0.243271123,0.000957005
225,225,0.004319,2.172135,9,46.83,225,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,223088.358,2.14559283,0.004326181
226,226,0.005144,1.157559,11,55.739,226,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",117032.0898,1.138056682,0.005138101
227,227,0.004073,0.483336,12,44.131,227,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,49250.15623,0.474896015,0.004066218
228,228,0.001893,0.41359,11,20.514,228,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",42286.48192,0.406127891,0.00189969
229,229,0.004791,1.020767,16,51.935,229,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",104486.2626,1.009776536,0.004788976
230,230,0.031703,1.311745,2,343.891,230,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,136339.0096,1.293989626,0.03169492
231,231,0.00197,0.588865,11,21.349,231,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",60325.71722,0.576499342,0.001974164
232,232,0.002588,0.399213,16,28.044,232,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",40491.07306,0.395610535,0.002593059
233,233,0.001013,0.274402,10,10.979,233,309,1763,8.7,97,10,LP,UF2,LVx,UF2,Fluvial non calcareous,28378.88143,0.27047757,0.001014115
234,234,0.004419,0.597018,11,47.887,234,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",60740.27062,0.590209239,0.004399782
235,235,0.002317,0.396852,15,25.113,235,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",40628.30854,0.390337867,0.00231205
236,236,0.002349,0.454324,2,25.469,236,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,46859.91762,0.44731165,0.002354715
237,237,0.005228,1.151031,16,56.681,237,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",118118.8918,1.145722062,0.005226507
238,238,0.012652,1.42302,1,137.292,238,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",149166.8681,1.40697167,0.012656602
239,239,0.017922,0.860164,3,194.419,239,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,90238.37638,0.849570677,0.017932078
240,240,0.021564,2.138324,12,233.868,240,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,219648.1934,2.105809952,0.021575513
241,241,0.141753,10.803334,15,1539.851,241,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",1108566.305,10.68936683,0.141741188
242,242,0.039912,4.875562,11,433.201,242,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",496956.243,4.787191145,0.0399176
243,243,0.060494,4.658375,14,656.673,243,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",477011.2964,4.598140764,0.06048478
244,244,0.545974,50.279967,12,5946.071,244,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,5101442.33,49.13484453,0.546182672
245,245,0.003139,0.544597,12,34.027,245,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,55604.05294,0.534404208,0.003121509
246,246,0.001471,0.431026,11,15.945,246,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",44386.42932,0.424264183,0.001468306
247,247,0.001255,0.325648,16,13.609,247,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",33395.94138,0.323705653,0.001263801
248,248,0.001546,0.23753,2,16.765,248,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,24701.72662,0.236245354,0.001545824
249,249,0.004117,0.875325,11,44.645,249,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",88924.10969,0.856147701,0.004107292
250,250,0.010697,1.493882,11,116.006,250,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",150581.4259,1.467089017,0.010683912
251,251,0.001281,0.21092,16,13.887,251,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",21887.90075,0.20916335,0.001279411
252,252,0.001732,0.272271,5,18.779,252,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",28098.9459,0.268817211,0.001723548
253,253,0.002858,0.317732,16,30.986,253,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",32761.81682,0.315106765,0.002860284
254,254,0.002875,0.378525,6,31.178,254,148,809,2,20,6,LD,UL2,GLe,UL2,"Lacustrine, non calcareous",38808.18144,0.373243153,0.002871012
255,255,0.001318,0.472077,11,14.288,255,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",47398.28563,0.461647973,0.001313505
256,256,0.015753,0.723062,2,170.997,256,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,75028.61782,0.716653199,0.01576327
257,257,0.000978,0.261485,16,10.602,257,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",26735.65414,0.259139744,0.000962989
258,258,0.001203,0.344536,11,13.045,258,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",35311.45139,0.339947944,0.001198168
259,259,0.001012,0.299851,16,10.974,259,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",30606.18722,0.297509397,0.001005831
260,260,0.002019,0.209965,8,21.903,260,95,1943,26.6,222,8,TH,SC2,RGd,SC2,"Sandstone, greywacke, arkose",21719.9779,0.207452113,0.002026326
261,261,0.010126,2.405838,11,109.907,261,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",207700.9142,1.991772658,0.010975996
262,262,0.044183,4.136188,14,480.662,262,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",421769.8053,4.080196194,0.044214261
263,263,0.001926,0.237835,5,20.894,263,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",24311.64694,0.233884346,0.001917622
264,264,0.005808,0.407811,8,63.03,264,95,1943,26.6,222,8,TH,SC2,RGd,SC2,"Sandstone, greywacke, arkose",42248.62196,0.402565996,0.00580473
265,265,0.058787,4.910809,15,639.543,265,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",502788.8622,4.842596879,0.058764998
266,266,0.002235,0.849333,13,24.256,266,1073,3628,35.3,322,13,TV,UF1,CMo,UF1,"Fluvial, calcareous",85511.43982,0.838731186,0.00225313
267,267,0.001989,0.242842,5,21.59,267,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",25087.18245,0.23987468,0.001988344
268,268,0.001155,0.207727,5,12.538,268,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",21288.58379,0.205159799,0.001158854
269,269,0.003002,0.666146,12,32.581,269,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,67628.61914,0.655484049,0.003008314
270,270,0.005771,2.261593,4,62.703,270,75,982,2.2,25,4,LV,UF1,CMg,UF1,"Fluvial, calcareous",230751.6786,2.226101192,0.005712236
271,271,0.003186,0.56068,5,34.587,271,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",57907.56908,0.550422137,0.00319575
272,272,0.00494,0.576616,2,53.656,272,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,59884.44491,0.568234058,0.004931185
273,273,0.000986,0.15735,5,10.707,273,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",16279.56646,0.155001395,0.000997022
274,274,0.007465,0.791749,14,81.099,274,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",81810.14222,0.781630705,0.007459851
275,275,0.003541,0.515201,15,38.446,275,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",52550.53916,0.506451237,0.0035239
276,276,0.002663,0.382879,2,28.916,276,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,40630.36823,0.378463998,0.002654465
277,277,0.03159,3.398101,12,343.179,277,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,325673.5434,3.144038017,0.032490769
278,278,0.002663,0.512291,11,28.914,278,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",51993.83928,0.500980819,0.002656483
279,279,0.003293,0.466058,5,35.758,279,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",47216.92628,0.460606657,0.003295732
280,280,0.008722,0.767985,3,94.797,280,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,80882.87888,0.759854234,0.008729757
281,281,0.008841,1.063664,14,96.06,281,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",108601.205,1.052526102,0.008847067
282,282,0.001819,0.464478,11,19.758,282,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",47402.97874,0.457345998,0.001820114
283,283,0.007524,0.826014,14,81.741,283,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",84917.25693,0.81617666,0.007501304
284,284,0.001067,0.169825,8,11.588,284,95,1943,26.6,222,8,TH,SC2,RGd,SC2,"Sandstone, greywacke, arkose",17218.4652,0.167487624,0.001062535
285,285,0.004851,1.225828,1,52.732,285,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",127009.8874,1.211677749,0.004839984
286,286,0.065491,5.365585,3,712.447,286,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,554370.052,5.276570672,0.065508511
287,287,0.001996,0.299607,2,21.688,287,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,31205.99293,0.29632665,0.002002843
288,288,0.001191,0.169964,12,12.935,288,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,17428.71906,0.167797725,0.00119076
289,289,0.000943,0.388015,9,10.243,289,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,39951.35408,0.383982644,0.000944692
290,290,0.001321,0.481902,11,14.353,290,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",49685.08713,0.470937785,0.001312978
291,291,0.002829,0.58046,11,30.729,291,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",59161.39522,0.571940794,0.002832848
292,292,0.001915,0.486516,11,20.809,292,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",49656.96445,0.47796307,0.001905961
293,293,0.005314,0.670045,14,57.749,293,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",68349.64067,0.662635343,0.00530743
294,294,0.001452,0.233722,11,15.779,294,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",23999.97425,0.229116335,0.001450071
295,295,0.002068,0.279953,14,22.468,295,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",28612.73926,0.275594172,0.002058571
296,296,0.000927,0.328096,7,10.07,296,262,1956,31.8,296,7,SH,SC2,CMo,SC2,"Sandstone, greywacke, arkose",33144.86707,0.323470628,0.000924579
297,297,0.016134,6.268604,9,175.919,297,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,639500.4277,6.168202425,0.016067151
298,298,0.002322,0.353431,14,25.232,298,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",35994.57096,0.346933419,0.002323488
299,299,0.001619,0.479795,11,17.591,299,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",49323.7653,0.474810623,0.001618786
300,300,0.002478,0.559431,9,26.933,300,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,57086.91479,0.553995963,0.002492016
301,301,0.00116,0.370735,11,12.603,301,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",37612.28676,0.36196912,0.001160094
302,302,0.021864,5.339601,11,237.773,302,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",540896.6678,5.212520199,0.021870349
303,303,0.001436,0.191862,12,15.607,303,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,19460.59944,0.189582339,0.00143705
304,304,0.001847,0.312032,12,20.079,304,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,31691.78665,0.305911495,0.001844816
305,305,0.001714,0.273013,14,18.634,305,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",28534.66213,0.268749544,0.001712261
306,306,0.010321,0.80283,2,112.212,306,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,82551.39092,0.793514236,0.010304599
307,307,0.010807,1.324433,10,117.6,307,309,1763,8.7,97,10,LP,UF2,LVx,UF2,Fluvial non calcareous,135724.9166,1.302020334,0.010803717
308,308,0.005009,1.177528,11,54.468,308,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",119397.8315,1.155380027,0.005001593
309,309,0.00512,0.487693,14,55.668,309,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",49836.65882,0.48212607,0.005127975
310,310,0.001531,0.505374,11,16.64,310,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",51726.39273,0.49770703,0.001527029
311,311,0.001433,0.405915,11,15.573,311,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",42035.5754,0.399544054,0.001436152
312,312,0.101412,17.56241,12,1105.036,312,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,1781212.167,17.12903485,0.10151647
313,313,0.061562,6.093042,15,670.874,313,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",627636.6807,6.017673659,0.061557862
314,314,0.025708,1.92469,14,279.835,314,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",196929.472,1.899848124,0.025722962
315,315,0.020776,1.073448,17,225.941,315,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",111320.9925,1.080697842,0.021227576
316,316,0.002823,0.585353,2,30.698,316,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,60808.97693,0.57249412,0.00282806
317,317,0.032784,14.080901,9,357.339,317,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,1435377.324,13.82391327,0.032693659
318,318,0.029043,3.408039,12,315.934,318,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,345672.5177,3.342500399,0.029022797
319,319,0.005773,0.65601,12,62.782,319,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,67398.31913,0.644275325,0.005780669
320,320,0.001155,0.195735,16,12.554,320,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",17535.08421,0.167941469,0.001305273
321,321,0.002039,0.673895,11,22.171,321,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",68746.72457,0.659024293,0.002032925
322,322,0.013059,2.002682,12,142.098,322,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,161587.3769,1.555942065,0.013973377
323,323,0.00166,0.229145,14,18.049,323,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",23431.3284,0.227302818,0.001664099
324,324,0.002848,0.653379,11,30.968,324,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",65828.39841,0.641327202,0.002847535
325,325,0.001731,0.405883,12,18.821,325,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,41231.40357,0.398176303,0.001726493
326,326,0.001149,0.280476,11,12.489,326,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",28659.05528,0.27578194,0.00113726
327,327,0.001465,0.330688,11,15.922,327,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",33363.71066,0.325134654,0.001465173
328,328,0.000993,0.455969,1,10.799,328,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",46880.12776,0.445377828,0.000986742
329,329,0.003633,1.005296,11,39.504,329,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",101227.6858,0.982546939,0.003620948
330,330,0.000986,0.277831,11,10.722,330,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",28355.54025,0.271687228,0.000991973
331,331,0.004148,0.941352,11,45.108,331,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",95411.98887,0.924588539,0.004153836
332,332,0.001692,0.346339,11,18.398,332,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",35290.22376,0.337451225,0.001690115
333,333,0.001239,0.236063,11,13.474,333,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",23743.62927,0.230229043,0.001237487
334,334,0.001419,0.319889,2,15.437,334,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,33479.41984,0.314671975,0.001415256
335,335,0.001007,0.247271,12,10.945,335,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,24872.46458,0.23829916,0.000998481
336,336,0.002054,0.596316,11,22.334,336,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",60137.40249,0.583533405,0.002066138
337,337,0.001474,0.40554,12,16.027,337,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,40608.30459,0.401995543,0.00147025
338,338,0.001372,0.478327,11,14.924,338,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",48275.97552,0.466267855,0.001364119
339,339,0.003394,0.765631,11,36.906,339,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",111947.6039,1.081602206,0.00429564
340,340,0.002546,0.985885,11,27.687,340,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",100942.8209,0.961736695,0.002541586
341,341,0.010244,1.118989,14,111.445,341,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",114181.4719,1.103900842,0.010255008
342,342,0.000932,0.390509,11,10.137,342,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",40403.20515,0.384670142,0.000935703
343,343,0.029506,1.933213,2,321.221,343,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,198416.0873,1.898559656,0.029499558
344,344,0.001826,0.294161,2,19.861,344,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,30439.11508,0.291202553,0.00182326
345,345,0.001178,0.443145,11,12.81,345,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",45117.54606,0.435725728,0.001172711
346,346,0.002411,0.323142,2,26.231,346,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,33461.46974,0.319966353,0.002423417
347,347,0.001189,0.217977,3,12.939,347,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,22751.97922,0.214177476,0.001195352
348,348,0.004033,1.607003,11,43.865,348,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",164794.196,1.562473391,0.004037641
349,349,0.001047,0.300919,9,11.388,349,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,30436.74921,0.294865003,0.001046761
350,350,0.001206,0.208441,16,13.122,350,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",21170.74876,0.205248007,0.00120366
351,351,0.002,0.213051,12,21.754,351,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,21683.24673,0.208602168,0.002001522
352,352,0.001598,0.560346,2,17.388,352,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,57840.37677,0.552159501,0.001607273
353,353,0.002162,0.609229,16,23.522,353,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",69567.57445,0.684599906,0.00299256
354,354,0.003096,1.355817,11,33.695,354,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",137993.1419,1.317763803,0.003080337
355,355,0.001722,0.523561,11,18.73,355,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",53107.02747,0.511548805,0.00171782
356,356,0.000975,0.272316,11,10.612,356,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",27789.37584,0.266830251,0.00096694
357,357,0.003629,0.735357,10,39.508,357,309,1763,8.7,97,10,LP,UF2,LVx,UF2,Fluvial non calcareous,75439.61341,0.719939005,0.003639256
358,358,0.001763,0.528293,11,19.178,358,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",53865.5836,0.517702419,0.001767183
359,359,0.002245,0.988398,11,24.428,359,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",100375.6388,0.957881272,0.002238483
360,360,0.001433,0.267176,11,15.587,360,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",27352.36241,0.260713354,0.001427716
361,361,0.001356,0.342904,11,14.759,361,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",35285.63238,0.337630468,0.001350557
362,362,0.009109,4.249979,11,99.146,362,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",428071.94,4.110325906,0.009080845
363,363,0.00276,0.501642,12,30.034,363,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,50970.78901,0.490779794,0.002760675
364,364,0.065992,3.26778,17,718.628,364,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",336723.6516,3.239373197,0.065996464
365,365,0.004297,1.20386,11,46.768,365,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",122009.4161,1.176736052,0.004299131
366,366,0.001709,0.394263,12,18.594,366,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,39723.4844,0.38653436,0.001705579
367,367,0.002061,0.612263,11,22.426,367,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",61581.55363,0.596517021,0.002056422
368,368,0.003151,0.748402,11,34.29,368,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",75679.04466,0.728243822,0.003148707
369,369,0.014396,4.731184,4,156.807,369,75,982,2.2,25,4,LV,UF1,CMg,UF1,"Fluvial, calcareous",483955.9168,4.64241087,0.014371523
370,370,0.002602,0.677028,glacier,28.324,370,3735,7194,33.2,387,0,GG,GG,GG,GG,GG,69320.42562,0.669870688,0.002608455
371,371,0.002723,0.420127,6,29.628,371,148,809,2,20,6,LD,UL2,GLe,UL2,"Lacustrine, non calcareous",43422.01519,0.413549581,0.002729251
372,372,0.001184,0.368059,2,12.89,372,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,38634.98715,0.363269479,0.001181026
