OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng,Shape_Le_1,Shape_Area
88,88,0.003856,0.339976,16,41.532,88,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",34561.62407,0.336067933,0.003862615
89,89,0.064059,4.561363,16,690.901,89,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",464332.8099,4.529127359,0.064037271
90,90,0.000983,0.177261,15,10.588,90,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",17809.70748,0.173898244,0.000976304
91,91,0.012853,1.159673,11,138.503,91,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",118090.2783,1.143706334,0.012825855
92,92,0.001977,0.889408,13,21.296,92,1073,3628,35.3,322,13,TV,UF1,CMo,UF1,"Fluvial, calcareous",89126.79926,0.871713974,0.001981886
93,93,0.001496,0.250343,11,16.113,93,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",25666.93971,0.246457253,0.001492134
94,94,0.001003,0.266237,16,10.808,94,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",26903.19247,0.261554706,0.001008168
95,95,0.001249,0.722918,9,13.462,95,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,73409.77118,0.713127629,0.00124461
96,96,0.001852,0.248799,17,19.952,96,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",25369.02289,0.246951258,0.001854473
97,97,0.001481,0.607132,12,15.961,97,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,60562.1457,0.598214608,0.00146998
98,98,0.003408,0.859741,11,36.722,98,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",87473.28028,0.845741096,0.003410375
99,99,0.00263,0.521409,16,28.34,99,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",52954.78878,0.514567422,0.00262746
100,100,0.000952,0.231763,11,10.261,100,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",23513.01746,0.228744485,0.000950732
101,101,0.002019,0.478408,17,21.755,101,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",49020.1315,0.473936542,0.002009121
102,102,0.001612,0.294977,16,17.372,102,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",29710.02606,0.291127196,0.001617489
103,103,0.001218,0.338743,16,13.133,103,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",34015.11065,0.334024186,0.001219182
104,104,0.002371,0.454082,11,25.559,104,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",46430.28312,0.447719706,0.002370916
105,105,0.001165,0.292774,16,12.551,105,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",29718.8852,0.28876188,0.001163022
106,106,0.001138,0.189413,16,12.27,106,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",19400.25128,0.186180552,0.001134486
107,107,0.001859,0.30942,11,20.039,107,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",31251.91231,0.305918395,0.001855602
108,108,0.034211,3.673202,15,369.235,108,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",374646.8272,3.622794857,0.034226356
109,109,0.004176,1.069635,11,45.042,109,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",108896.9328,1.051249261,0.004170022
110,110,0.000928,0.25091,16,10.003,110,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",25708.12911,0.246387117,0.000924591
111,111,0.004844,0.582857,16,52.239,111,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",59549.50275,0.577645776,0.004851394
112,112,0.017411,1.177977,16,187.814,112,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",120776.1865,1.163529015,0.017415891
113,113,0.025284,3.081482,11,272.854,113,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",314673.9797,3.029677035,0.025292703
114,114,0.001405,0.301874,16,15.149,114,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",31205.91087,0.299054908,0.001403164
115,115,0.000956,0.159388,16,10.308,115,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",16211.58792,0.157257461,0.00095741
